"Country or Area","Year(s)","GENDER","Value","Value Footnotes"
"Grenada","2000","Female","123",""
"Grenada","2000","Both sexes","167",""
"Grenada","1990","Male","215",""
"Grenada","1990","Female","150",""
"Grenada","1990","Both sexes","182",""
"Guatemala","2012","Male","240",""
"Guatemala","2012","Female","129",""
"Guatemala","2012","Both sexes","182",""
"Guatemala","2000","Male","279",""
"Guatemala","2000","Female","156",""
"Guatemala","2000","Both sexes","217",""
"Guatemala","1990","Male","320",""
"Guatemala","1990","Female","205",""
"Guatemala","1990","Both sexes","265",""
"Guinea","2012","Male","306",""
"Guinea","2012","Female","277",""
"Guinea","2012","Both sexes","291",""
"Guinea","2000","Male","359",""
"Guinea","2000","Female","329",""
"Guinea","2000","Both sexes","344",""
"Guinea","1990","Male","355",""
"Guinea","1990","Female","307",""
"Guinea","1990","Both sexes","331",""
"Guinea-Bissau","2012","Male","354",""
"Guinea-Bissau","2012","Female","307",""
"Guinea-Bissau","2012","Both sexes","330",""
"Guinea-Bissau","2000","Male","333",""
"Guinea-Bissau","2000","Female","301",""
"Guinea-Bissau","2000","Both sexes","317",""
"Guinea-Bissau","1990","Male","365",""
"Guinea-Bissau","1990","Female","286",""
"Guinea-Bissau","1990","Both sexes","326",""
"Guyana","2012","Male","379",""
"Guyana","2012","Female","259",""
"Guyana","2012","Both sexes","323",""
"Guyana","2000","Male","341",""
"Guyana","2000","Female","229",""
"Guyana","2000","Both sexes","287",""
"Guyana","1990","Male","372",""
"Guyana","1990","Female","231",""
"Guyana","1990","Both sexes","304",""
"Haiti","2012","Male","268",""
"Haiti","2012","Female","227",""
"Haiti","2012","Both sexes","247",""
"Haiti","2000","Male","353",""
"Haiti","2000","Female","318",""
"Haiti","2000","Both sexes","335",""
"Haiti","1990","Male","352",""
"Haiti","1990","Female","299",""
"Haiti","1990","Both sexes","325",""
"Honduras","2012","Male","176",""
"Honduras","2012","Female","122",""
"Honduras","2012","Both sexes","149",""
"Honduras","2000","Male","202",""
"Honduras","2000","Female","149",""
"Honduras","2000","Both sexes","176",""
"Honduras","1990","Male","239",""
"Honduras","1990","Female","179",""
"Honduras","1990","Both sexes","210",""
"Hungary","2012","Male","203",""
"Hungary","2012","Female","92",""
"Hungary","2012","Both sexes","147",""
"Hungary","2000","Male","271",""
"Hungary","2000","Female","114",""
"Hungary","2000","Both sexes","193",""
"Hungary","1990","Male","305",""
"Hungary","1990","Female","133",""
"Hungary","1990","Both sexes","219",""
"Iceland","2012","Male","67",""
"Iceland","2012","Female","34",""
"Iceland","2012","Both sexes","51",""
"Iceland","2000","Male","92",""
"Iceland","2000","Female","57",""
"Iceland","2000","Both sexes","75",""
"Iceland","1990","Male","112",""
"Iceland","1990","Female","69",""
"Iceland","1990","Both sexes","91",""
"India","2012","Male","242",""
"India","2012","Female","160",""
"India","2012","Both sexes","203",""
"India","2000","Male","271",""
"India","2000","Female","204",""
"India","2000","Both sexes","239",""
"India","1990","Male","288",""
"India","1990","Female","242",""
"India","1990","Both sexes","266",""
"Indonesia","2012","Male","178",""
"Indonesia","2012","Female","124",""
"Indonesia","2012","Both sexes","152",""
"Indonesia","2000","Male","221",""
"Indonesia","2000","Female","162",""
"Indonesia","2000","Both sexes","191",""
"Indonesia","1990","Male","266",""
"Indonesia","1990","Female","204",""
"Indonesia","1990","Both sexes","235",""
"Iran (Islamic Republic of)","2012","Male","156",""
"Iran (Islamic Republic of)","2012","Female","84",""
"Iran (Islamic Republic of)","2012","Both sexes","121",""
"Iran (Islamic Republic of)","2000","Male","178",""
"Iran (Islamic Republic of)","2000","Female","131",""
"Iran (Islamic Republic of)","2000","Both sexes","155",""
"Iran (Islamic Republic of)","1990","Male","239",""
"Iran (Islamic Republic of)","1990","Female","217",""
"Iran (Islamic Republic of)","1990","Both sexes","229",""
"Iraq","2012","Male","223",""
"Iraq","2012","Female","107",""
"Iraq","2012","Both sexes","165",""
"Iraq","2000","Male","164",""
"Iraq","2000","Female","102",""
"Iraq","2000","Both sexes","133",""
"Iraq","1990","Male","170",""
"Iraq","1990","Female","117",""
"Iraq","1990","Both sexes","143",""
"Ireland","2012","Male","83",""
"Ireland","2012","Female","50",""
"Ireland","2012","Both sexes","67",""
"Ireland","2000","Male","120",""
"Ireland","2000","Female","70",""
"Ireland","2000","Both sexes","96",""
"Ireland","1990","Male","134",""
"Ireland","1990","Female","81",""
"Ireland","1990","Both sexes","108",""
"Israel","2012","Male","72",""
"Israel","2012","Female","39",""
"Israel","2012","Both sexes","55",""
"Israel","2000","Male","103",""
"Israel","2000","Female","55",""
"Israel","2000","Both sexes","79",""
"Israel","1990","Male","107",""
"Israel","1990","Female","71",""
"Israel","1990","Both sexes","89",""
"Italy","2012","Male","70",""
"Italy","2012","Female","39",""
"Italy","2012","Both sexes","55",""
"Italy","2000","Male","101",""
"Italy","2000","Female","51",""
"Italy","2000","Both sexes","76",""
"Italy","1990","Male","129",""
"Italy","1990","Female","60",""
"Italy","1990","Both sexes","95",""
"Jamaica","2012","Male","177",""
"Jamaica","2012","Female","107",""
"Jamaica","2012","Both sexes","142",""
"Jamaica","2000","Male","242",""
"Jamaica","2000","Female","140",""
"Jamaica","2000","Both sexes","192",""
"Jamaica","1990","Male","191",""
"Jamaica","1990","Female","122",""
"Jamaica","1990","Both sexes","157",""
"Japan","2012","Male","82",""
